intent,entityName,energy_related,company_specific
adjustDistrictHeatCapacity,noneEntity,0,1
advancePaymentOverview,noneEntity,0,1
AP_adjustmentLimit,noneEntity,0,1
AP_changeAmount,noneEntity,0,1
AP_changeAmount,ProductType_L,0,1
AP_changeBankAccount,noneEntity,0,1
AP_changeBillingPeriod,noneEntity,0,1
AP_changeDueDate,noneEntity,0,1
AP_complaint,noneEntity,0,1
AP_currentAmountAndDueDate,noneEntity,0,1
AP_debitorAccount,noneEntity,0,1
AP_deferPayment,noneEntity,0,1
AP_offeredPaymentOptions,noneEntity,0,1
AP_payPlan,noneEntity,0,1
AP_reasonForPriceIncrease,noneEntity,0,1
AP_reasonForPriceIncrease,ProductType_L,0,1
AP_reasonForPriceIncrease,ProductType_L,0,1
AP_refundCredit,noneEntity,0,1
AP_reminder,noneEntity,0,1
AP_SEPAmandate,noneEntity,0,1
AP_whatIsAdvancePayment,noneEntity,1,0
appDownload,noneEntity,0,1
applyForPCOS,noneEntity,0,1
ascertainPaymentAmount,noneEntity,0,1
averageConsumption,noneEntity,1,0
averageConsumption,ProductType_L,1,0
averageConsumption,ProductType_L,1,0
averageConsumption,ProductType_L,1,0
averageConsumption,ProductType_L,1,0
billingInfoEEG,noneEntity,0,1
billOverview,energyTypeBilling_Reg,0,1
billOverview,invoiceType_L,0,1
billOverview,noneEntity,0,1
billTime,invoiceType_L,0,1
billTime,invoiceType_L,0,1
billTime,noneEntity,0,1
bitRate,noneEntity,0,1
blackout,blackoutType_L,0,1
blackout,blackoutType_L,0,1
blackout,blackoutType_L,0,1
blackout,blackoutType_L,0,1
blackout,blackoutType_L,0,1
blackout,blackoutType_L,0,1
blackout,blackoutType_L,0,1
blackout,noneEntity,0,1
broadbandTypes,broadbandType_L,0,1
broadbandTypes,broadbandType_L,0,1
broadbandTypes,broadbandType_L,0,1
broadbandTypes,noneEntity,0,1
buildingCostSubsidy,noneEntity,1,0
busStrike,noneEntity,1,0
caseOfDeath,noneEntity,0,1
changeCompensationEEG,noneEntity,0,1
changeEEGConsumptionMode,noneEntity,0,1
changeEEGModule,noneEntity,0,1
changeEEGOperator,noneEntity,0,1
changeHC,noneEntity,0,1
changePassword,noneEntity,0,1
changeProduct,noneEntity,0,1
changesONPV,noneEntity,1,0
changeSupplierEEG,noneEntity,1,0
chargingBilling,noneEntity,0,1
chargingCard,noneEntity,0,1
chargingConnection,noneEntity,0,1
chargingCosts,noneEntity,0,1
chargingInstruction,noneEntity,1,0
chargingModes,noneEntity,1,0
chargingParkingRegulations,noneEntity,1,0
chargingPayment,noneEntity,0,1
chargingTime,noneEntity,1,0
checkFeedingHistory,noneEntity,0,1
checkPreviousMeterReading,noneEntity,0,1
commissioningSteps,noneEntity,0,1
commissioningSteps,StepsHC_L,0,1
commissioningSteps,StepsHC_L,0,1
compensationEEGTaxes,noneEntity,1,0
contactDataPorting,noneEntity,0,1
contractDuration,noneEntity,0,1
contractExtension,noneEntity,0,1
contractOverview,noneEntity,0,1
correctMeterReading,noneEntity,0,1
costsHC,noneEntity,0,1
costsHC,ProductTypeHC_L,0,1
costsHC,ProductTypeHC_L,0,1
costsHC,ProductTypeHC_L,0,1
currentMarketSituation,noneEntity,1,0
customerOwnedMeter,noneEntity,0,1
customerPortal,noneEntity,0,1
cyberAttack,cyberAttack_L,0,0
cyberAttack,cyberAttack_L,0,0
cyberAttack,cyberAttack_L,0,1
cyberAttack,cyberAttack_L,0,1
cyberAttack,noneEntity,0,0
digitalMeterBenefits,meterType_L,1,0
digitalMeterBenefits,meterType_L,1,0
digitalMeterBenefits,noneEntity,1,0
disclosureRequirementsGridOperator,noneEntity,0,1
discountAdvancePayment,noneEntity,0,1
EEGOverview,noneEntity,0,1
EEGSystemType,EEGSystemType_L,1,0
EEGSystemType,EEGSystemType_L,1,0
EEGSystemType,EEGSystemType_L,1,0
EEGSystemType,EEGSystemType_L,1,0
EEGSystemType,EEGSystemType_L,1,0
EEGSystemType,EEGSystemType_L,1,0
EEGSystemType,EEGSystemType_L,1,0
EEGSystemType,noneEntity,1,0
eMobilityFunding,noneEntity,1,0
energyBundle,energyBundle_L,0,1
energyBundle,energyBundle_L,0,1
energyBundle,energyBundle_L,0,1
energyBundle,energyBundle_L,0,1
energyBundle,energyBundle_L,0,1
energyBundle,noneEntity,0,1
energyProductContract,noneEntity,0,1
energySavingOrdinance,noneEntity,1,0
energyStorage,noneEntity,0,1
enterInstallerOverview,noneEntity,0,1
explainBenefitSepaMandate,noneEntity,1,0
explainBenefitSolarProduct,noneEntity,1,0
explainInvoiceOtherReceivable,noneEntity,0,1
factsAndFigures,noneEntity,0,1
feedingAndGenerationVolume,noneEntity,1,0
findFibreId,noneEntity,1,0
findInstallerOverview,noneEntity,0,0
gasApportionment,noneEntity,1,0
gasPriceBrake,noneEntity,1,0
generalEEGProcess,noneEntity,1,0
getBankTransferDetails,noneEntity,0,1
ghgQuota,ghgSpecification_L,0,1
ghgQuota,ghgSpecification_L,0,1
ghgQuota,ghgSpecification_L,0,1
ghgQuota,ghgSpecification_L,0,1
ghgQuota,ghgSpecification_L,0,1
ghgQuota,ghgSpecification_L,0,1
ghgQuota,ghgSpecification_L,0,1
ghgQuota,ghgSpecification_L,0,1
ghgQuota,ghgSpecification_L,0,1
ghgQuota,ghgSpecification_L,0,1
ghgQuota,ghgSpecification_L,0,1
ghgQuota,ghgSpecification_L,0,1
ghgQuota,ghgSpecification_L,0,1
ghgQuota,noneEntity,0,1
gridConnectionInfo,HeatingPumpHC_L,0,1
gridConnectionInfo,HeatingSystem_L,0,1
gridConnectionInfo,noneEntity,0,1
gridConnectionInfo,ProductTypeHC_L,0,1
gridConnectionInfo,ProductTypeHC_L,0,1
gridConnectionInfo,ProductTypeHC_L,0,1
handover,noneEntity,0,1
