conversationId,type,role,timestamp,text,isMessageBackText,plainText,topScoringIntent
LJt6wyFrAQa3dW4sbb9j0g-eu,conversationUpdate,user,2023-11-27T09:11:02.965Z,,0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,event,user,2023-11-27T09:11:03.127Z,,0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:11:03.411Z,"[Adaptive Card]    Ich bin **Bottie**, der digitale Assistent der Thüga Energie. Ich beantworte Ihnen gerne Fragen rund um das Thema **Energie**.\ \ Nachfolgend finden Sie Themen, bei denen ich Ihnen besonders gut helfen kann ????. Sie können aber auch gerne Ihre Frage direkt hier unten im Chat eintippen.    ?? Tipp: Wenn Sie **_""Menü""_** in den Chat schreiben gelangen Sie wieder zu dieser Themenauswahl.",0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,event,,2023-11-27T09:11:03.509Z,,0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:11:04.492Z,Fragen zu Zählern und Zählerstand,1,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,trace,,2023-11-27T09:11:04.568Z,,0,0,meterReadingOverview
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:11:04.768Z,[Adaptive Card]   Sie suchen Informationen zum Themenbereich **Zähler und Zählerstand**?    Wählen Sie einfach eine der Optionen aus oder geben Sie unten eine andere Frage ein. ??,0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:11:04.923Z,Womit kann ich Ihnen noch helfen?,0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:11:06.419Z,Zählerstand mitteilen,1,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,trace,,2023-11-27T09:11:06.467Z,,0,0,MR_tellMeterReading
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:11:06.779Z,"Schön, dass Sie uns Ihren Zählerstand mitteilen möchten ??   Bitte wählen Sie die **gewünschte Sparte** aus ??  ",0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:11:08.643Z,[ADAPTIVE CARD POWER SELECTION],0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:11:09.120Z,,0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:16:52.829Z,abbrechen,1,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,trace,,2023-11-27T09:16:52.919Z,,0,0,cancel
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:16:53.081Z,Wie kann ich Ihnen noch behilflich sein?,0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:16:57.195Z,zählerstand,0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,trace,,2023-11-27T09:16:57.490Z,,0,0,meterReadingOverview
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:16:57.684Z,[Adaptive Card]   Sie suchen Informationen zum Themenbereich **Zähler und Zählerstand**?    Wählen Sie einfach eine der Optionen aus oder geben Sie unten eine andere Frage ein. ??,0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:16:57.834Z,Wie kann ich Ihnen noch behilflich sein?,0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:16:58.950Z,Zählerstand mitteilen,1,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,trace,,2023-11-27T09:16:59.026Z,,0,0,MR_tellMeterReading
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:16:59.328Z,"Schön, dass Sie uns Ihren Zählerstand mitteilen möchten ??   Bitte wählen Sie die **gewünschte Sparte** aus ??  ",0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:17:01.194Z,[ADAPTIVE CARD POWER SELECTION],0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:17:01.582Z,,0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:17:52.337Z,abbrechen,1,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,trace,,2023-11-27T09:17:52.401Z,,0,0,cancel
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:17:52.561Z,Wie kann ich Ihnen noch behilflich sein?,0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:17:55.493Z,zählerstand,0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,trace,,2023-11-27T09:17:55.781Z,,0,0,meterReadingOverview
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:17:55.966Z,[Adaptive Card]   Sie suchen Informationen zum Themenbereich **Zähler und Zählerstand**?    Wählen Sie einfach eine der Optionen aus oder geben Sie unten eine andere Frage ein. ??,0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:17:56.096Z,Womit kann ich Ihnen noch helfen?,0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:17:57.432Z,Zählerstand mitteilen,1,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,trace,,2023-11-27T09:17:57.474Z,,0,0,MR_tellMeterReading
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:17:57.823Z,"Schön, dass Sie uns Ihren Zählerstand mitteilen möchten ??   Bitte wählen Sie die **gewünschte Sparte** aus ??  ",0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:17:59.735Z,[ADAPTIVE CARD POWER SELECTION],0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:18:00.142Z,,0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:18:54.686Z,abbrechen,1,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,trace,,2023-11-27T09:18:54.776Z,,0,0,cancel
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:18:54.954Z,Womit kann ich Ihnen noch helfen?,0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:18:59.973Z,abschlag ändern,0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,trace,,2023-11-27T09:19:00.278Z,,0,0,AP_changeAmount
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:19:00.678Z,,0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:19:03.659Z,abbrechen,1,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,trace,,2023-11-27T09:19:03.724Z,,0,0,cancel
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:19:03.892Z,Was möchten Sie noch von mir wissen?,0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:19:19.317Z,abschlag ändern,0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,trace,,2023-11-27T09:19:19.650Z,,0,0,AP_changeAmount
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:19:20.056Z,,0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:19:49.875Z,[ADAPTIVE CARD WITH LOGIN + METER DATA],0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:19:55.632Z,"[Adaptive Card]   Es gab leider einen Fehler bei der Änderung Ihrer Abschlagshöhe im System ??  Dies kann mehrere Gründe haben, z.B.: - Abschlag wurde erst kürzlich geändert - Es gibt keine fälligen Abschläge mehr - Ein technisches Problem ist aufgetreten  Gerne können Sie alternativ unseren Kundenservice kontaktieren bzw. nutzen ??",0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:19:55.789Z,Wie kann ich Ihnen noch behilflich sein?,0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:20:11.551Z,zählerstand mitteilen,0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,trace,,2023-11-27T09:20:11.844Z,,0,0,MR_tellMeterReading
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:20:12.148Z,"Schön, dass Sie uns Ihren Zählerstand mitteilen möchten ??   Bitte wählen Sie die **gewünschte Sparte** aus ??  ",0,1,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:20:13.816Z,[ADAPTIVE CARD POWER SELECTION],0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,,2023-11-27T09:20:14.213Z,,0,0,
LJt6wyFrAQa3dW4sbb9j0g-eu,message,user,2023-11-27T09:20:18.870Z,[ADAPTIVE CARD WITH LOGIN + METER DATA],0,0,
